asset_id,asset_role,mean_surrogate_rul_input,mean_priority,sd_priority,mean_rank,sd_rank,rank_1_probability
A2,Sortation conveyor drive,84.31204770569795,34.07119809009531,29.855271077590295,2.67,1.4060857289216318,0.32
A3,Vertical lift motor,85.88777718537395,28.819010752921006,26.17491851561747,2.754,1.4182720104040325,0.303
A1,Inbound conveyor motor,86.78199418540628,23.37610450837482,21.383578605515527,2.911,1.3262118374670908,0.218
A5,Packing-station roller motor,84.90888957254111,19.61223903611137,17.237525748454708,2.992,1.2350957296750162,0.127
A4,AGV/shuttle drive unit,86.89717998421916,14.202140075733777,13.063131979626657,3.22,1.0727305117086723,0.032
