model,candidate_id,fold,train_engines,validation_engines,validation_rows,mae,rmse,alpha,selected,n_estimators,learning_rate,max_depth,min_samples_leaf
gradient_boosting,8,1,80,20,4070,22.705645527241153,29.588555296072407,,False,100.0,0.05,3.0,10.0
gradient_boosting,8,2,80,20,4291,29.13734185697411,39.70307928212132,,False,100.0,0.05,3.0,10.0
gradient_boosting,8,3,80,20,3909,27.883260260034607,37.635992816229,,False,100.0,0.05,3.0,10.0
gradient_boosting,8,4,80,20,4070,25.321091476152013,39.01292957548451,,False,100.0,0.05,3.0,10.0
gradient_boosting,8,5,80,20,4291,27.866282398112244,39.13419377501763,,False,100.0,0.05,3.0,10.0
gradient_boosting,9,1,80,20,4070,22.727761349177108,29.42986006732768,,False,200.0,0.03,2.0,5.0
gradient_boosting,9,2,80,20,4291,29.358582567027184,39.635206308560804,,False,200.0,0.03,2.0,5.0
gradient_boosting,9,3,80,20,3909,28.499252218138427,37.83681973403987,,False,200.0,0.03,2.0,5.0
gradient_boosting,9,4,80,20,4070,25.76026020461446,39.42053355768937,,False,200.0,0.03,2.0,5.0
gradient_boosting,9,5,80,20,4291,28.103268387209813,39.28290996215777,,False,200.0,0.03,2.0,5.0
gradient_boosting,10,1,80,20,4070,22.727761349177108,29.42986006732768,,False,200.0,0.03,2.0,10.0
gradient_boosting,10,2,80,20,4291,29.358582567027184,39.635206308560804,,False,200.0,0.03,2.0,10.0
gradient_boosting,10,3,80,20,3909,28.499252218138427,37.83681973403987,,False,200.0,0.03,2.0,10.0
gradient_boosting,10,4,80,20,4070,25.76026020461446,39.42053355768937,,False,200.0,0.03,2.0,10.0
gradient_boosting,10,5,80,20,4291,28.103268387209813,39.28290996215777,,False,200.0,0.03,2.0,10.0
gradient_boosting,11,1,80,20,4070,22.601160065926468,29.543041777511206,,False,200.0,0.03,3.0,5.0
gradient_boosting,11,2,80,20,4291,29.177921554868764,39.77730234607594,,False,200.0,0.03,3.0,5.0
gradient_boosting,11,3,80,20,3909,27.85274773596142,37.738252074881984,,False,200.0,0.03,3.0,5.0
gradient_boosting,11,4,80,20,4070,25.271526593060045,38.95321342540271,,False,200.0,0.03,3.0,5.0
gradient_boosting,11,5,80,20,4291,27.762579579356053,39.019400493769176,,False,200.0,0.03,3.0,5.0
gradient_boosting,12,1,80,20,4070,22.619732272540983,29.55017164867821,,False,200.0,0.03,3.0,10.0
gradient_boosting,12,2,80,20,4291,29.183558580406128,39.78469233303544,,False,200.0,0.03,3.0,10.0
gradient_boosting,12,3,80,20,3909,27.875071853783595,37.77835901403754,,False,200.0,0.03,3.0,10.0
gradient_boosting,12,4,80,20,4070,25.27281386928174,38.95840126460606,,False,200.0,0.03,3.0,10.0
gradient_boosting,12,5,80,20,4291,27.759402189798134,39.01029877919822,,False,200.0,0.03,3.0,10.0
gradient_boosting,13,1,80,20,4070,22.501044889219617,29.362044998313156,,False,200.0,0.05,2.0,5.0
gradient_boosting,13,2,80,20,4291,29.346923348276757,39.788127517591185,,False,200.0,0.05,2.0,5.0
gradient_boosting,13,3,80,20,3909,28.231533898204898,37.815810186577856,,False,200.0,0.05,2.0,5.0
gradient_boosting,13,4,80,20,4070,25.495562796948835,39.2533370443233,,False,200.0,0.05,2.0,5.0
gradient_boosting,13,5,80,20,4291,27.914755026489072,38.999659468317915,,False,200.0,0.05,2.0,5.0
gradient_boosting,14,1,80,20,4070,22.504342378683173,29.366836976424914,,False,200.0,0.05,2.0,10.0
gradient_boosting,14,2,80,20,4291,29.356328969542833,39.794830809592156,,False,200.0,0.05,2.0,10.0
gradient_boosting,14,3,80,20,3909,28.231533898204898,37.815810186577856,,False,200.0,0.05,2.0,10.0
gradient_boosting,14,4,80,20,4070,25.511842311997224,39.25744917330105,,False,200.0,0.05,2.0,10.0
gradient_boosting,14,5,80,20,4291,27.91398324319108,38.98195480317702,,False,200.0,0.05,2.0,10.0
gradient_boosting,15,1,80,20,4070,22.719392279919138,29.75973831146861,,False,200.0,0.05,3.0,5.0
gradient_boosting,15,2,80,20,4291,29.176665774506482,39.98114834838541,,False,200.0,0.05,3.0,5.0
gradient_boosting,15,3,80,20,3909,27.877757582830785,37.99501113563332,,False,200.0,0.05,3.0,5.0
gradient_boosting,15,4,80,20,4070,25.26330894866229,38.965556753794345,,False,200.0,0.05,3.0,5.0
gradient_boosting,15,5,80,20,4291,27.7489305606898,38.919039391724546,,False,200.0,0.05,3.0,5.0
gradient_boosting,16,1,80,20,4070,22.713182027870545,29.741053062435828,,False,200.0,0.05,3.0,10.0
gradient_boosting,16,2,80,20,4291,29.192621333798005,39.98245164488628,,False,200.0,0.05,3.0,10.0
gradient_boosting,16,3,80,20,3909,27.89493904924727,38.02414043459137,,False,200.0,0.05,3.0,10.0
gradient_boosting,16,4,80,20,4070,25.317054573378968,38.99603783381643,,False,200.0,0.05,3.0,10.0
gradient_boosting,16,5,80,20,4291,27.780221435988004,38.945222579984964,,False,200.0,0.05,3.0,10.0
